Filename,Transcript
d1195-T333,ich weiss es nicht ich kann es also nicht sagen was für
d1195-T334,das ist aber noch lange bevor
d1195-T336,also wirklich schütter ist eine ganz ein scheitere zeit gewesen selbe ist ganz bitter gewesen
d1195-T338,nur von anderen weitergelebt und
d1195-T339,das ist ja vor von deutschland da noch da hat man nichts gewusst vom hitler
d1195-T34,da da das gimnasium da hätte ich
d1195-T340,wie ist es dann gewesen
d1195-T341,mit der arbeitslosigket in den dreissigerjahren in der schweiz
d1195-T342,die ist schlimm gewesen die ist also ganz schlimm gewesen ich kann mich noch gut erinnern
d1195-T343,es hat mich natürlich insofern betroffen wo ich die handelsschule abgeschlossen habe
d1195-T344,habe ich
d1195-T345,praktisch
d1195-T346,eine keine stelle gehabt
d1195-T347,das heisst ich habe dann schon so aushilfsstellen gehabt
d1195-T348,betätigt ich kann mich noch erinnern ich habe
d1195-T349,bei einem bauern habe ich allmal ausgeholfen
d1195-T35,wahrscheinlich ein klein schwierigkeiten gehabt zu luzern
d1195-T350,also noch vor dem krieg
d1195-T351,wie
d1195-T352,das ist noch vor dem krieg gewesen
d1195-T353,das ist noch vor dem krieg gewesen
d1195-T354,bei einem bauer ausgeholfen
d1195-T355,und zwar hat mich der
d1195-T356,gesagt du kannst da hinter dem hinter der scheuer ist er ist ein bierbaum
d1195-T357,dort innen fallen will niemand
d1195-T358,da habe ich gesagt ich gehen ihnen schon aufhin
d1195-T359,aber immerhin ich habe dort die birnen obenabhin geholt
d1195-T36,da haben dann die handelsschule gemacht
d1195-T360,geschüttelt und so etwas abgelesen
d1195-T361,unter dem geld ist gewesen am abend
d1195-T362,sind also auch nicht so
d1195-T363,begütert gewesen die bauern nicht
d1195-T364,nur nur ein bild wie wie das so
d1195-T365,ist also nicht so als würde man heute
d1195-T366,sondern dort hat man müssen lugen dass man
d1195-T367,dass man etwas hat können machen
d1195-T368,ist ja gleich gewesen was wenn nur etwas lauft
d1195-T369,dort durchhin sind die engländer ein klein vorbildlich heute
d1195-T37,und nachanter
d1195-T370,muss mängist sagen
d1195-T371,zum beispiel den schwiegersohn
d1195-T372,der ist telefonmonteur
d1195-T373,und hat die stelle aufgegeben weil weil das alles also
d1195-T374,geht alles so in der fusion innen die globalisierung all das ist so klein
d1195-T375,weg kommen
d1195-T376,der hat sofort eine stolle gehabt
d1195-T377,dann ist sofort hat er
d1195-T378,hat er
d1195-T379,hat er sich bei der bahn gemeldet und die haben gesagt ja gut er könne da
d1195-T38,muss ich das ist grat
d1195-T380,parkwächter sich ja gut bin ich halt parkwächter ist er ein halbes jahr parkwächter gewesen
d1195-T381,nachart
d1195-T382,hat er wieder etwas andere keibes gefunden
d1195-T383,irgend etwas das ist ja gleich das hat mit dem telefon nichts
d1195-T384,und jetzt ist er bei der
d1195-T385,bei der bahn
d1195-T386,bei der administration
d1195-T387,das gefällt dem nicht schlecht ja
d1195-T388,aber
d1195-T389,er kann auch anders machen wenn es wenn es so genehm ist
d1195-T39,der krieg
d1195-T390,was mich noch würde interessieren in welchen jahren haben sie die handelsschule
d1195-T391,in luzern gemacht
d1195-T392,also
d1195-T393,in welchem jahr
d1195-T394,wie
d1195-T395,in welchem jahr
d1195-T396,das ist gewesen
d1195-T397,gottfriedstutz zwanzig dreissig
d1195-T398,ist natürlich etwas anderes das ist er ist ja sehr e manuell begabt
d1195-T399,das ist etwa
d1195-T4,der vater der ist älter gewesen weder mutter weil der ist der vater ist dann zwei
d1195-T40,krieg hat dann auch noch angefangen
d1195-T400,fünfunddreissig gewesen etwa im fünfunddreissig neunzehnfünfunddreissig
d1195-T401,das ist gegen der vierzig
d1195-T402,achtunddreissig neununddreissig
d1195-T403,achtunddreissig neununddreissig ist das gewesen ja
d1195-T404,achtunddreissig neununddreissig
d1195-T405,ja ich bin c zuerst bei der schon noch klein neben aussen gewesen neben eine zeit lang dann habe ich
d1195-T406,keine arbeit gehabt bin ich eigentlich auf den
d1195-T407,der kostet gewesen bei der mutter dann hat man den billig gelebt
d1195-T408,und dann am sonntag hat es
d1195-T409,hat es ein grosses müsse geben
d1195-T41,dann bin ich
d1195-T410,mit einer
d1195-T412,eine wurst also nicht das spezialwurscht ist das gewesen
d1195-T413,ist also ganz ein einfaches essen gewesen ganz einfach ja
d1195-T414,wir haben wirklich einfach gelebt haben mit obst und mit dem zeug was man von anderen leuten übergekommen haben
d1195-T415,und ihre geschwister
d1195-T416,nein halt das ist später gewesen später halt halt
d1195-T418,im beruf gewesen einen ist wagner
d1195-T419,in der dritten klasse habe ist geschrieben ich werden
d1195-T42,auf der strasse gestanden zuerst und ich habe mich gemeldet bei der sauwas
d1195-T420,ich will wagner werden
d1195-T421,wagner bin ich nie geworden aber
d1195-T422,der eltisch ist der zweit ist wagner worden der ist
d1195-T423,der ist zu davos gewesen der ist sie scheinwagner gewesen bei der att
d1195-T424,attenhofer
d1195-T425,wo nachhther zu zürich unten wieder geschafft hat
d1195-T426,und der zweit
d1195-T427,der dritte
d1195-T428,der ist
d1195-T429,auch wagner
d1195-T43,die haben gesagt vorläufig stellen sie niemand ein
d1195-T430,ist dann beim bruder
d1195-T431,zu zürich hat in der inneren scheinwagnerei geschafft
d1195-T432,ist dann an
d1195-T433,blutzersetzung gestorben
d1195-T434,und die dritte ist eine schwester die hat
d1195-T435,neinere gelehrt
d1195-T436,damenschneiderin
d1195-T437,und die viert die fünfte
d1195-T438,ist eine schwester gewesen
d1195-T439,die hat e keinen die ist erste stelle gewesen ist
d1195-T44,und habe dann aber gleich
d1195-T440,überall hat die und der sechsten ist wieder wagner geworden
d1195-T441,und der ist bei der
d1195-T442,zu brennen 
d1195-T443,in der
d1195-T444,spielwarenfabrik hat er geschafft
d1195-T445,ah ist das wisa gloria
d1195-T446,übrigens wie sind wir vier brüder gewesen haben alle wollen wagner werden alle haben wollen wagner ja alle
d1195-T447,zu tun gehabt mit telefonmonteur und dem zeug gar nichts zu tun gehabt
d1195-T449,und der ist dann noch
d1195-T45,am
d1195-T450,leider gottes verdrucken im zürich im zugersee mit einem kinder
d1195-T451,ist er an einem sonntag mit dem schifflein auf ne zugersee
d1195-T452,während dem die frau mit der tochter auf einsiedeln ist
d1195-T453,ist er auf eine zugersee und die auf dem zugersee
d1195-T454,hat das kind das ist etwa dreijährig gewesen das ist ein bub gewesen
d1195-T455,ist hinten am bug gewesen und er hat es stehrender gehabt er hat also gerudert
d1195-T456,und
d1195-T457,fallt aushin der kleinen fällt aushin
d1195-T458,der der der bruder
d1195-T459,wie ist eine gute schwimmer gewesen springt aushin
d1195-T46,nach weihnacht anno vierzig
d1195-T460,packt ihn
d1195-T461,jetzt hat eine fehler gemacht jetzt hat er jetzt hat ihn dann stimmereizehnkrampf übergekommen
d1195-T463,gehustet hat hat er immer luft hahahahah und hat ihn in der hand gehabt und ist abhin mit
d1195-T464,ist abhin niemand gefunden
d1195-T465,mit dem kleinen
d1195-T466,wahrscheinlich unten innen dort nicht das ist ja dort da
d1195-T467,zugers
d1195-T468,zugersee die stadt zug ist ja dort ab
d1195-T469,und hat dort eine so unten innen
d1195-T47,nach weihnacht anno vierzig habe ich der
d1195-T470,und sie sagen er müsse dort unten  ihnen gekommen er
d1195-T471,sie können nicht dort unten ihnen das
d1195-T472,hat ihn also niemand gefunden
d1195-T473,aber sie haben den leute gesehen also
d1195-T474,das ist eine aushingegangen von ganz in der nähe mit dem schifflein
d1195-T475,ist sie aushingeschwumme aushingerudert
d1195-T476,aber sie sei zu spot kommen sind habe ich nichts mehr können
d1195-T477,und das ist nach dem krieg passiert
d1195-T478,das ist nach dem krieg passiert
d1195-T479,wann haben sie das  gefühl gehabt
d1195-T48,aufforderung übergekommen ich soll einmal vorbei gekommen
d1195-T480,zweit hälfte dreissigerjahren ende dreissigerjahren
d1195-T481,auch jetzt wird es gefährlich
d1195-T482,vielleicht gibt es krieg
d1195-T483,haben sie das gefühl gehabt oder wie haben sie das erlebt
d1195-T484,ja
d1195-T485,ja man hat schon
d1195-T486,eine mir als als legen und wo richtig
d1195-T487,das man hat dann gemerkt der hitler
d1195-T488,der ist dann gibt sich nicht ab mit
d1195-T489,mit dem restdeutschland wo jetzt noch ist sondern dann will wieder ein grossen er hat ja immer von einem grossdeutschland geredet
d1195-T49,von den sowas
d1195-T490,also dann will wahrscheinlich schon der der
d1195-T491,er sacken ein was er kann
d1195-T492,und man hat also schon
d1195-T493,das hat man schon klein gewusst dann
d1195-T494,da die drei herren wo da zusammengekommen sind da
d1195-T495,wo da einen teil ein teil von der vom
d1195-T496,wir haben schon das gefühl gehabt also da geht der teufel einmal los da geht es einmal los
d1195-T497,vom wie heisst das
d1195-T498,also das sudeten
d1195-T499,wie
d1195-T5,die erste frau ist ihm gestorben
d1195-T50,von den sollen ja und dann bin ich dort vorbei
d1195-T500,sudeten
d1195-T501,sudetenland ja sudeten
d1195-T502,der gibt sich nicht mit
d1195-T503,mit einem brot mit einem brotranft da ab sondern der will noch mehr
d1195-T504,haben sie angst gehabt
d1195-T505,also wir haben angst gehabt wir haben also wo der krieg ausgebrochen ist haben wir angst übergekommen und zwar
d1195-T506,wir haben uns gesagt der der der
d1195-T507,gut es ist ja interessant es ist kommt ist ja in den bericht aushingekommen das habe ich im radio gehört da
d1195-T508,das eine deutschen
d1195-T509,kana oder kanawas oder wie kanadis oder wie er geheissen hat
d1195-T51,aber nur vorübergehend es sei also keine fest feste anstellung
d1195-T510,dann ist ja ist er über alles überrannt der hat ja alles überrollt gerade dann ist gerade
d1195-T512,zurückgehalten sonst hätten die deutsche hätten die schweiz auch schon
d1195-T513,gut die schweiz
d1195-T514,meine das militär ist ist
d1195-T515,gerüstet gewesen aber ob sie gut gerüstet gewesen sind ist eine andere frage
d1195-T516,und ob das genützt hat
d1195-T517,die deutschen haben ja immer gesagt
d1195-T518,sie gingen jetzt zuerst nach england und wenn sie dann zurück auf dem rückweg nehmen wir die
d1195-T519,also
d1195-T52,ist immerhin vierundvierzig jahre geblieben
d1195-T520,gut
d1195-T521,wenn er uns überrennt hat
d1195-T522,das hat eine terrillakrieg geben es hat auch so nein
d1195-T523,es hat also das ist ganz sicher dass da im reduit innen da
d1195-T524,vereinzelte gehabt hätten wo immer wieder geklopft hätten das ist ganz klar
d1195-T525,man hat dann da man hat da schon gewusst dass
d1195-T526,und dann hat man gewusst
d1195-T527,dass wir einen haufen leute da innen haben
d1195-T528,dann wir haben müssen von den solla aus
d1195-T529,wir haben müssen gehen gan
d1195-T53,die vorübergehender anstellung
d1195-T530,gan erdäpfel setzen
d1195-T531,und zwar hat direktion angeordnet nicht mit maschinen sondern man hat sich von hand müssen
d1195-T532,nur umhingegraben das haben wir nicht müssen weil also das ist umhingeackert worden
d1195-T533,und dann sind wir aufgeboten worden
d1195-T534,die die die schweiz namen wir die nehmen wir die schweiz auch noch gerade dazu
d1195-T535,als also
d1195-T536,als bürolisten
d1195-T537,sind wir da aufgeboten worden für den
d1195-T538,erdäpfel setzen da
d1195-T539,ganze felder voll haben wir da erdäpfel gesteckt
d1195-T54,und dort habe ich
d1195-T540,wo
d1195-T541,und die gefreurelt und und an der sonne gepflegt
d1195-T542,in der stadt luzern
d1195-T543,ja das ist im moos aussen gewesen bin
d1195-T544,und im
d1195-T545,gerade im herbst haben wir sie sogar noch müssen gan bewachen ich bin auch noch wache
d1195-T546,also sind sie von bürodienst
d1195-T547,wie
d1195-T548,sind sie vom büro aus
d1195-T549,jaja
d1195-T55,bin ich gerade
d1195-T550,gestanden dort aussen dass uns die erdapfel nicht gestohlen worden sind
d1195-T552,das ist eine plan aufgestellt worden wäre muss gehen und wie da hat man dann alle auch haben müssen gehen dann
d1195-T553,da ist ausgerückt worden am morgen und
d1195-T554,karst auf der achslein und
d1195-T555,schaufeln und pickel und da
d1195-T556,von der direktion aus befohlen worden
d1195-T558,und
d1195-T559,die erdäpfel gesteckt
d1195-T56,zuerst in die mathematisch
d1195-T560,und dann im herbst wieder ausgetan und wenn ich einmal poliert habe den wagen
d1195-T561,wir da mit den regewetter erdäpfel ausgetan habe gesagt das ist macht e keine bauer da he regewetter erdäpfel ausgetan
d1195-T562,aber das hat nichts genützt wir haben müssen
d1195-T563,zu haben wir dann erdäpfel ausgetan dann haben wir es wieder müssen
d1195-T564,putzen mit mit lumpen sack
d1195-T565,ambolage haben wir die
d1195-T566,die erdäpfel putzt dass sie einigermassen sauber gewesen sind
d1195-T567,ob es ihnen gut getan hat weiss ich nicht ob sie dann wie die gefallen sind
d1195-T568,und wohin sind die erdäpfel dann kommen
d1195-T569,wie
d1195-T57,und anschliessend ist die statistik gewesen und dann ist die statistik kommen
d1195-T570,wohin sind die erdäpfel kommen
d1195-T571,die hat man können kaufen verbilligt hat man die übergekommen
d1195-T572,also sind wir immer die sind immer abgekommen die erdäpfel sind alle abgekommen
d1195-T573,hat auch noch klein kabis gesetzt zum teil
d1195-T574,ja das ist alles alles ist
d1195-T576,das hat man schon wo dann das der gefallen ist hat man schon gewusst dass
d1195-T578,vom wa vom wahlen
d1195-T579,ja das ist ein guter mann gewesen
d1195-T58,da habe ich einfach der ganze
d1195-T580,und der
d1195-T581,der salweise hätte ich es auch noch klein geholfen den salweise von der
d1195-T582,reporter
d1195-T583,was ist er gewesen professer oder was
d1195-T584,am radio wobei am radio radio haben wir allmal schon gehabt
d1195-T585,also fernsehen hat es ja noch nicht geben dazumal
d1195-T586,aber beim radio und radio
d1195-T587,habe ich zum beispiel wo ich noch nicht in der sauva gewesen bin
d1195-T588,habe ich so das kleines dedeckterlein gehabt mit einem stein und dann habe ich müssen so
d1195-T589,suchen guseln mit einem
d1195-T59,statistische ding mitgemacht dort dann
d1195-T590,mit einem stift
d1195-T591,dann habe ich dann etwas gehört he
d1195-T592,meistens habe ich nur musik habe allmal bei der musik habe ich
d1195-T593,haben wir
d1195-T594,auch später habe ich es dann mit dem ddeckter habe ich sie nie übergekommen
d1195-T595,und
d1195-T596,das ist
d1195-T597,gut gewesen das heisst
d1195-T598,der salweise hätte ich es etwa über
d1195-T599,über die ganze
d1195-T6,von deren hat er nur eine tochter gehabt
d1195-T60,ist zwar nicht immer ist jetzt wirklich nicht mehr
d1195-T600,die lage vom vom hitler wo er da nach russland ist und dort
d1195-T601,und die die das ist viel überfall auf frankreich schon vorennen
d1195-T602,also sie meinen wahrscheinlich dann jean rudolf von salis
d1195-T603,wie
d1195-T604,jean rudolf von salis
d1195-T605,über der gut rapportiert hat
d1195-T607,die ra nachrichten aber später hat man dann nachrichten übergekommen
d1195-T608,sie sie hat die sendung von einem
d1195-T61,mehr dinge gewesen aber ich habe mich so gut als gegangen ist habe mich durchgeschlagen dort
d1195-T610,die hat die hat man
d1195-T611,die hat man gelost und hat
d1195-T612,aber wie gesagt das ist also
d1195-T613,muss vielleicht noch voraus schicken
d1195-T614,am
d1195-T615,bei der ersten mobilmachung ist ja gegangen aber bei der zweiten mobilmachung
d1195-T616,hat man ja genau gemeint jetzt jetzt kommt er der von unten einen
d1195-T617,von von von basel unten
d1195-T618,und ich kann mich noch gut erinnern da habe ich in die sollen in der ersten jahren geschafft dort
d1195-T619,da sind die züüge voll
d1195-T62,das habe ich nie wollen
d1195-T620,basler leute
d1195-T621,mit kinder und chengel sind die mit kinderwagen sind die da auf luzern einen kommen
d1195-T622,zu luzern ausgestiegen die haben wollen alle da im reduit innen sie haben wollen in der innerschweiz wesen wie der der wie der der unten einen kommt da
d1195-T623,also man hat also
d1195-T624,keiben schiessen gehabt also muss schon sagen das ist also
d1195-T625,sehr kritisch gewesen
d1195-T626,sehr kritisch
d1195-T627,und gut heute weiss man
d1195-T628,heute weiss man eine vom vom kz das hat man natürlich da der leie hat das
d1195-T629,vielleicht obendurchhin haben sie es schon besser gewusst
d1195-T63,ich habe immer gesagt wenn ich schon eine chefposten hat will ich einer
d1195-T630,aber wir haben also von dem nichts gewusst man hat das praktisch nichts gewusst von dem
d1195-T631,nur kann ich heute nicht verstehen das leute geben
d1195-T632,wo sagen es gen es habe e keine kz geben
d1195-T633,das kann ich also nicht recht verstehen nach dem man es ja
d1195-T635,haben sie dann auch am radio nachrichten mitbekommen
d1195-T636,aber wir haben es also nicht gewusst also
d1195-T637,also dann gewöhn dann gewöhnlich sterbliche hat das nicht gewusst
d1195-T638,ich weiss es nicht
d1195-T639,gesagt hat man gesagt hat man man hat überhaupt von dem wenig geredet dass judenprobleme
d1195-T64,will ich selber können urtei
d1195-T640,dann wir haben selber müssen lugen dass wir zu essen haben
d1195-T641,und und wenn man denkt dass die wie man heute gesehen
d1195-T642,dass wie die amerikaner die haben auch eine keine inhingelassen und die franzosen
d1195-T643,oder wer das gewesen ist die die die ich glaube wir haben die meisten inhingelassen wo es einigermassen
d1195-T644,gut alles hat man natürlich ist
d1195-T645,wirklich nicht gut gegangen heute im nachhinein kann man schon sagen
d1195-T646,es ist ja immer ob ein klein die frage
d1195-T647,an an der grenze grenzdienst macht
d1195-T649,erziehung gewirkt
d1195-T65,ich will nicht mehr ich mache ich machen meine sache und machen meine sache so gut als geht
d1195-T650,und den befehl ist ein befehl gewesen und der hat müssen strikte ausgeführt werden und wenn dann nicht ausgeführt worden ist ist er verschossen worden
d1195-T651,ich kann mich noch gut erinnern ich bin auf der militärzentraler gewesen zu luzern
d1195-T652,telefonkasten gehabt wo man gestopselt hat
d1195-T653,also im aktivdienst
d1195-T656,bewaffneten hilfsdienst habe eine alte flinte gehabt
d1195-T657,ich habe nie wahr nie gut geschossen aber
d1195-T658,überall gewesen
d1195-T659,schützenstand hinten gan schiessübungen machen dort
d1195-T66,um es andere tun wir dann lugen
d1195-T660,ich weiss also noch gut ich habe eine
d1195-T661,haben eine hauptmann gehabt
d1195-T662,genauer lugen du musst besser lugen du musst auch lugen du
d1195-T663,du hast wieder neben du hast eine nuller geschossen
d1195-T664,habe immer ein klein angst gehabt
d1195-T665,vor dem schiessen
d1195-T666,ja nur
d1195-T667,auf alle fälle
d1195-T668,eben sie haben gestöpselt haben sie
d1195-T67,was mich noch interessiert
d1195-T670,und ich kann mich noch gut erinnern
d1195-T671,jetzt hat mich einmal einen maior oder ein oberst oder was gewesen ist gefragt
d1195-T672,von andermatt obenabhin
d1195-T673,hat man den befehl durchgeben und das ist fliegeralarm gewesen
d1195-T674,hat man den befehl durchgegeben ich soll
d1195-T675,es es irgend ein kompaniebüro anläuten weiss nicht was für eines
d1195-T676,und dann habe ich ein telef
d1195-T677,telefon ihnen gerufen fliegeralarm und habe dann steter wieder aushingerissen
d1195-T678,ist aber nie nichts gegangen
d1195-T679,das sind so die begebenheiten gewesen
d1195-T68,sie haben von diesen es verzählt ist das
d1195-T681,und da habe ich gerufen fliegeralarm und habe dann steter wieder aushingerissen
d1195-T683,bahnhof im
d1195-T684,post post unten da
d1195-T685,und ihm bürgenberg hinten
d1195-T686,bürgerberg
d1195-T687,bürgerberg das ist dort wo
d1195-T688,dort wo der flug
d1195-T689,die flugfabrik ist da von der
d1195-T69,wie
d1195-T690,unten ihnen ist ein kennen
d1195-T691,dort ist dort ist man inhingegangen auf der selben seite bürgerberg
d1195-T694,da kommt er wieder und sagt er wenn er in wenn ich jetzt nicht sofort der ding durchhingeben so gehen er mich einen kisten
d1195-T695,der buochs stans stehen dort
d1195-T696,genau
d1195-T697,boches stans stad hinteren dort in gegen moos
d1195-T698,dort hinterhin ist das ist der unser
d1195-T699,damiziel gewesen wie man
d1195-T7,und hat dann noch fünf jahren wieder geheiratet und
d1195-T700,wie man dienst gehen
d1195-T701,gehabt hat im bürgerberg
d1195-T702,das heisst auf der militärzentralen sind nie mehr gewesen als zwei
d1195-T703,einen am kasten und einen am am
d1195-T704,wobei ich muss sagen
d1195-T705,heute könnte ich es nimmermehr
d1195-T706,ich habe schon mängist gedacht ich hätte stollenkoller
d1195-T707,also man hat schon stollenkoller übergekommen darinnen wenn wir längere
d1195-T708,längere zeit dort innen gewesen ist aber man hat das nicht so gemerkt also heute
d1195-T709,das wäre
d1195-T71,zugestanden und dann habe ich gesagt der bleiben angestellten fertig schluss
d1195-T710,es läuft
d1195-T711,da ist es wieder was haben wir auch geredet
d1195-T712,könnten sie mich nicht mehr in den stollen inhin getan
d1195-T713,eben wegen wegen den die sind
d1195-T714,bin im bürgerberg in der festung innen gewesen
d1195-T715,jawohl im bürgberg in der fest ja dort sind wir dort sind wir ziemlich lange
d1195-T716,wir sind natürlich nicht immer dort innen gewesen man hat dann wieder etwa müssen auf luzern angetreten
d1195-T717,aber der bürgerberg ist
d1195-T718,für uns
d1195-T719,und dann hat man den reis gehabt nur in all weg aufhin
d1195-T72,ist das
d1195-T720,und ja nicht weiter he
d1195-T721,im ausgang
d1195-T722,ausgang
d1195-T723,und dann sind wir mal der langemachts und ich heh
d1195-T724,haben es haben velo gehabt
d1195-T725,plötzlich kommt die serviertochter zu springen und sagt ihr müssen sofort da weg
d1195-T726,der hauptmann ist im anmarsch der komme gan kontrollen machen
d1195-T727,jetzt hat ihm einen im im kompaniebüro da unten
d1195-T728,hat
d1195-T729,hat uns gewarnt
d1195-T730,der hat der hat gewusst dann geht jetzt ein bürgerberg hinteren gan kon gan kontrollen machen
d1195-T731,wir natürlich aushin und ab und
d1195-T732,und eben wir haben gerade mögen ins loch ihnen dann ist er gekommen
d1195-T733,glaube wir werden hinterhingeheit worden
d1195-T734,mh das ist klar
d1195-T735,dann haben wir gesagt wir gehen auf engelberg aufhin im grünen boden sind wir eingekehrt
d1195-T736,mh wie ist dann
d1195-T737,das klima gewesen in der festung so
d1195-T738,keine bericht durchgeben keine stetslerei nicht fertig
d1195-T74,ausgesprochen leider gestorben ist dann auch noch während dem dass ich dort gewesen bin
d1195-T740,also untereinander
d1195-T741,ist ist gut gewesen ist gut gewesen das hat höchstens
d1195-T742,dann ist der ein klein missmutung gewesen aber
d1195-T743,aber dass man irgendwie feindlich
d1195-T744,depression oder
d1195-T745,es ist ja nur es zusätzliches
d1195-T746,eingeschlossensen aussendaran sind die achsenmächten
d1195-T747,und dann ist man ja noch einest
d1195-T748,eingeschlossen eben die schweiz eingeschlossen von der achsenmächte und dann zusätzlich ist man noch
d1195-T749,wie nochmal in der festung noch
d1195-T750,eingebunkert
d1195-T751,jaja jaja
d1195-T752,aber wir haben
d1195-T753,wir haben einen und für sich ein gutes verhältnis gehabt
d1195-T754,in der militärzentralen
d1195-T755,wir haben
d1195-T756,am abend sind wir ausgegangen das ist das heisst wir haben ja nur zwei können gehen
d1195-T757,die anderen sind wieder zwei darinnen gewesen
d1195-T758,und dann sind wir gewöhnlich ein hollweg aufhin dort oben haben wir irgend ein kafelein oder ein bierlein oder irgend
d1195-T759,ein sonst
d1195-T76,in den dreissiger jahren gewesen schon in den dreissiger jahren
d1195-T760,sonst sehr gut wohl wir haben also
d1195-T761,wir haben ein gutes verhältnis gehabt also noch zum beispiel der
d1195-T762,lange magen und da der den fischer baulein
d1195-T763,vom auktionshaus doch dann lebt wahrscheinlich auch schon lange also dann lange machts ist gestorben das weiss ich dann fischer baulich wahrscheinlich auch
d1195-T764,gewesen wäre gegeneinander oder so das hat man nicht gekannt einfach auch eine gewissen
d1195-T765,sind
d1195-T766,ist ein gutes verhältnis gewesen
d1195-T767,wie sind die offizieren gewesen
d1195-T768,die offiziere
d1195-T769,das ist eine spezial
d1195-T77,dort habe ich sehr gute
d1195-T770,spezialgattig gewesen mit der offizieren
d1195-T771,haben wir eigentlich eine kein nur haben wir im letzten ding wo man noch
d1195-T772,die einest dienst getan gehabt aber es ist schon der krieg ist schon vorbei gewesen
d1195-T773,es hat eben so klein der ein oder andere hat der koller übergekommen
d1195-T774,haben wir noch eine neuen hauptmann gehabt und da sind die
d1195-T775,der fhadehen ist dann natürlich noch dazukommen der ist da noch
d1195-T776,haben wir den ganzen krieg können mit mit da
d1195-T777,und jetzt kommt der und du tut und dann hätten wir noch sollen
d1195-T779,dann ist eine gewesen vom effhade eine vom gatiker
d1195-T78,sehr gute lehrer gehabt
d1195-T780,von dieser
d1195-T781,fettfabrik da von wedischwil oder weiss ich woher
d1195-T782,und die hätten wir sollen grüssen weil sie die hat ein offiziersgrad gehabt oder was keibes habe gesagt
d1195-T783,stollen kommen
d1195-T784,das ist ein klein dann das ist ein klein das negativen gewesen
d1195-T785,aber sie haben keine
d1195-T786,also die von dem weibervolk da grüssen wir doch nicht
d1195-T787,offizieren gehabt im aktivdienst wo
d1195-T788,mit nazideutschland sympathisiert haben v
d1195-T789,haben wir nicht gekannt
d1195-T79,ganz ausgezeichnete sehr gute
d1195-T790,das haben wir nicht gekannt wir haben also keinen offizier gehabt
d1195-T791,wo wir wo wir
d1195-T792,wissentlich wo wir wüssten dass sie irgendwie
d1195-T793,namen
d1195-T794,das könnte ich nicht sagen
d1195-T795,wir haben strenge offizier gehabt zum teil
d1195-T796,eben durch die autoritäre offiziere
d1195-T797,zum beispiel dann gübeler die die die gübeleinhütte da ist ja bekannt gewesen im ding unten da
d1195-T798,kasernen unten dort die in die gübeleinhütte da das sind die die irgend
d1195-T799,wo er eingesperrt hat
d1195-T8,und die mutter ist eine pfenninger gewesen
d1195-T80,habe aber auch in wartestei ein guter lehrer gehabt einen deutschlehrer
d1195-T800,irgend etwas keibes wenn es irgend etwas
d1195-T801,und der hat dann die ein klein bevorzugt und das wenn man das hätte ich es der klein mögen wir haben gesagt gottfertorin jetzt haben wir
d1195-T802,etwas ja irgend
d1195-T803,zum beispiel mein bruder ist auch einmal in der kübeleinhütten unten gewesen der hat
d1195-T804,die hätten ausgangsperre gehen in eine wirtschaft dort
d1195-T805,da in der ländern innen irgendwo hätten sie nicht dürfen in die wirtschaft gehen warum weiss ich auch nicht
d1195-T806,und er ist halt gleich gegangen mit anderen dann sind sie
d1195-T807,kappert worden und in  dübeleinhütten abhin gekommen
d1195-T808,für wie lange weiss ich auch nicht so
d1195-T809,man hat den befehl gehabt bei fliegeralarm dürfen wir nichts keine
d1195-T81,eine deutschen der
d1195-T811,das habe ja scheint es der
d1195-T812,handschuhebefehl geben dass die offiziere ja nicht haben dürfen ohne handschuhen
d1195-T813,das weiss ich nicht
d1195-T814,das könnte ich also nicht sagen ich
d1195-T815,von dem weiss ich nichts
d1195-T816,sie haben uns stre sie haben strenge
d1195-T817,ja und autoritäre dinge gehabt heute ist ja das
d1195-T818,wenn man da die rekrutenschule anlugt
d1195-T819,ist das gar nicht so schlimm
d1195-T82,bei also dort oben habe dort noch der pater marius karlott gelernt kenne das ist ganz ein bäumigen mann gewesen
d1195-T820,dazumal hat man dann schon noch müssen
d1195-T821,wo noch meine lehrer gewesen ist in der schule er hat allmal zu einer gesagt hans du musst
d1195-T822,in dreck innen liegen wie man
d1195-T823,wenn er geschossen haben das hat da keine rolle gespielt da
d1195-T824,nachher der ganz die ganz abhin da die ganze
d1195-T825,bei den übungen
d1195-T826,bei den übungen ja
d1195-T827,wie lange sind sie im aktivdienst gewesen
d1195-T828,wie
d1195-T829,wie lange sind sie im aktivdienst gewesen
d1195-T83,er bericht der hat
d1195-T830,hm ja ich bin vom
d1195-T831,bis am fünfundvierzig bin ich also bin ich
d1195-T832,vierzig bis fünfundvierzig also in allem zehn da während dem ganzen krieg ich bei den nachanter
d1195-T833,vom
d1195-T834,bewaffneten haden habe habe so kolossale müssen gehabt ja da
d1195-T835,habe ich habe noch müssen es erztliches zeugnis bringen dass ich nicht könne
d1195-T836,das ist noch lange gegangen bis ich dann bei überhaupt noch lange in dem habe hadeen bei den noch
d1195-T837,ja und dann fünf
d1195-T838,fünfhundert dienstag gehabt oder noch klein mehr
d1195-T839,haben sie den mann gehabt mit der mit den waffen
d1195-T84,dann ist sehr guter lehrer gewesen
d1195-T840,aus pazifistischen christlichen gründen
d1195-T841,namen
d1195-T842,christliche grund nicht ich habe höchstens scheisse gehabt wenn ich das heisst
